Corpus,Configuration,Nominal tier,Query format,Documents sampled,Draws,Full-sample dMRR@10,Draws with correct sign,Agreement rate,Wilson lower,Wilson upper,reference sign,contributes to
er_reason,BGE-base,1,keyword,10,500,-0.0954,142,0.284,0.2462,0.3251,negative,specificity
er_reason,BGE-base,1,keyword,20,500,-0.0954,304,0.608,0.5645,0.6498,negative,specificity
er_reason,BGE-base,1,keyword,30,500,-0.0954,363,0.726,0.6853,0.7633,negative,specificity
er_reason,BGE-base,1,keyword,50,500,-0.0954,438,0.876,0.8442,0.9021,negative,specificity
er_reason,BGE-base,1,keyword,75,500,-0.0954,493,0.986,0.9714,0.9932,negative,specificity
er_reason,BGE-base,1,nl,10,500,-0.141,123,0.246,0.2103,0.2856,negative,specificity
er_reason,BGE-base,1,nl,20,500,-0.141,274,0.548,0.5042,0.5911,negative,specificity
er_reason,BGE-base,1,nl,30,500,-0.141,412,0.824,0.7882,0.8549,negative,specificity
er_reason,BGE-base,1,nl,50,500,-0.141,490,0.98,0.9636,0.9891,negative,specificity
er_reason,BGE-base,1,nl,75,500,-0.141,500,1.0,0.9924,1.0,negative,specificity
er_reason,BioLORD-2023,1,keyword,10,500,-0.1315,311,0.622,0.5787,0.6634,negative,specificity
er_reason,BioLORD-2023,1,keyword,20,500,-0.1315,392,0.784,0.7458,0.8178,negative,specificity
er_reason,BioLORD-2023,1,keyword,30,500,-0.1315,441,0.882,0.8508,0.9074,negative,specificity
er_reason,BioLORD-2023,1,keyword,50,500,-0.1315,481,0.962,0.9414,0.9755,negative,specificity
er_reason,BioLORD-2023,1,keyword,75,500,-0.1315,500,1.0,0.9924,1.0,negative,specificity
er_reason,BioLORD-2023,1,nl,10,500,-0.2071,247,0.494,0.4504,0.5377,negative,specificity
er_reason,BioLORD-2023,1,nl,20,500,-0.2071,431,0.862,0.829,0.8895,negative,specificity
er_reason,BioLORD-2023,1,nl,30,500,-0.2071,485,0.97,0.9511,0.9817,negative,specificity
er_reason,BioLORD-2023,1,nl,50,500,-0.2071,500,1.0,0.9924,1.0,negative,specificity
er_reason,BioLORD-2023,1,nl,75,500,-0.2071,500,1.0,0.9924,1.0,negative,specificity
er_reason,GTE-base,1,keyword,10,500,-0.0863,173,0.346,0.3056,0.3887,negative,specificity
er_reason,GTE-base,1,keyword,20,500,-0.0863,322,0.644,0.6011,0.6847,negative,specificity
er_reason,GTE-base,1,keyword,30,500,-0.0863,364,0.728,0.6874,0.7652,negative,specificity
er_reason,GTE-base,1,keyword,50,500,-0.0863,425,0.85,0.816,0.8786,negative,specificity
er_reason,GTE-base,1,keyword,75,500,-0.0863,494,0.988,0.9741,0.9945,negative,specificity
er_reason,GTE-base,1,nl,10,500,-0.0925,135,0.27,0.2329,0.3106,negative,specificity
er_reason,GTE-base,1,nl,20,500,-0.0925,301,0.602,0.5585,0.644,negative,specificity
er_reason,GTE-base,1,nl,30,500,-0.0925,403,0.806,0.7691,0.8383,negative,specificity
er_reason,GTE-base,1,nl,50,500,-0.0925,484,0.968,0.9487,0.9802,negative,specificity
er_reason,GTE-base,1,nl,75,500,-0.0925,500,1.0,0.9924,1.0,negative,specificity
er_reason,MedCPT,1,keyword,10,500,-0.2162,181,0.362,0.3211,0.405,negative,specificity
er_reason,MedCPT,1,keyword,20,500,-0.2162,342,0.684,0.642,0.7232,negative,specificity
er_reason,MedCPT,1,keyword,30,500,-0.2162,422,0.844,0.8096,0.8732,negative,specificity
er_reason,MedCPT,1,keyword,50,500,-0.2162,499,0.998,0.9888,0.9996,negative,specificity
er_reason,MedCPT,1,keyword,75,500,-0.2162,500,1.0,0.9924,1.0,negative,specificity
er_reason,MedCPT,1,nl,10,500,-0.1552,151,0.302,0.2634,0.3436,negative,specificity
er_reason,MedCPT,1,nl,20,500,-0.1552,208,0.416,0.3736,0.4597,negative,specificity
er_reason,MedCPT,1,nl,30,500,-0.1552,236,0.472,0.4286,0.5158,negative,specificity
er_reason,MedCPT,1,nl,50,500,-0.1552,312,0.624,0.5807,0.6654,negative,specificity
er_reason,MedCPT,1,nl,75,500,-0.1552,476,0.952,0.9296,0.9675,negative,specificity
er_reason,Nomic-embed-text,1,keyword,10,500,-0.0958,167,0.334,0.2941,0.3765,negative,specificity
er_reason,Nomic-embed-text,1,keyword,20,500,-0.0958,316,0.632,0.5889,0.6731,negative,specificity
er_reason,Nomic-embed-text,1,keyword,30,500,-0.0958,404,0.808,0.7712,0.8401,negative,specificity
er_reason,Nomic-embed-text,1,keyword,50,500,-0.0958,472,0.944,0.9203,0.961,negative,specificity
er_reason,Nomic-embed-text,1,keyword,75,500,-0.0958,500,1.0,0.9924,1.0,negative,specificity
er_reason,Nomic-embed-text,1,nl,10,500,-0.0785,121,0.242,0.2065,0.2814,negative,specificity
er_reason,Nomic-embed-text,1,nl,20,500,-0.0785,267,0.534,0.4902,0.5773,negative,specificity
er_reason,Nomic-embed-text,1,nl,30,500,-0.0785,355,0.71,0.6687,0.7481,negative,specificity
er_reason,Nomic-embed-text,1,nl,50,500,-0.0785,462,0.924,0.8974,0.9441,negative,specificity
er_reason,Nomic-embed-text,1,nl,75,500,-0.0785,500,1.0,0.9924,1.0,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,keyword,10,500,-0.1089,166,0.332,0.2921,0.3744,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,keyword,20,500,-0.1089,293,0.586,0.5423,0.6284,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,keyword,30,500,-0.1089,388,0.776,0.7374,0.8104,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,keyword,50,500,-0.1089,489,0.978,0.961,0.9877,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,keyword,75,500,-0.1089,500,1.0,0.9924,1.0,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,nl,10,500,-0.227,110,0.22,0.1859,0.2584,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,nl,20,500,-0.227,179,0.358,0.3172,0.401,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,nl,30,500,-0.227,313,0.626,0.5828,0.6673,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,nl,50,500,-0.227,439,0.878,0.8464,0.9038,negative,specificity
er_reason,Nomic-embed-text-nopfx,1,nl,75,500,-0.227,499,0.998,0.9888,0.9996,negative,specificity
er_reason,BERT-base-uncased,2,keyword,10,500,0.1014,402,0.804,0.7669,0.8364,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,20,500,0.1014,468,0.936,0.911,0.9543,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,30,500,0.1014,488,0.976,0.9585,0.9862,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,50,500,0.1014,499,0.998,0.9888,0.9996,positive,sensitivity
er_reason,BERT-base-uncased,2,keyword,75,500,0.1014,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,10,500,0.0866,380,0.76,0.7207,0.7954,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,20,500,0.0866,456,0.912,0.8839,0.9338,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,30,500,0.0866,475,0.95,0.9272,0.9659,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,50,500,0.0866,493,0.986,0.9714,0.9932,positive,sensitivity
er_reason,BERT-base-uncased,2,nl,75,500,0.0866,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,BioBERT,2,keyword,10,500,0.1806,399,0.798,0.7606,0.8309,positive,sensitivity
er_reason,BioBERT,2,keyword,20,500,0.1806,484,0.968,0.9487,0.9802,positive,sensitivity
er_reason,BioBERT,2,keyword,30,500,0.1806,498,0.996,0.9855,0.9989,positive,sensitivity
