model,corpus,query_format,epsilon,baseline_MRR@10,corpus_only_ZCA_MRR@10,dMRR@10,Recall@10,tier
BioBERT,MTSamples,keyword,1e-07,0.42395634920634917,0.4978293650793651,0.07387301587301592,0.71,2
BioBERT,MTSamples,keyword,1e-06,0.42395634920634917,0.4979563492063492,0.07400000000000001,0.71,2
BioBERT,MTSamples,keyword,1e-05,0.42395634920634917,0.5279007936507937,0.1039444444444445,0.73,2
BioBERT,MTSamples,keyword,0.0001,0.42395634920634917,0.5854920634920635,0.16153571428571434,0.8,2
BioBERT,MTSamples,keyword,0.001,0.42395634920634917,0.5191468253968253,0.09519047619047616,0.78,2
BioBERT,MTSamples,keyword,0.01,0.42395634920634917,0.3529087301587302,-0.07104761904761897,0.64,2
BioBERT,MTSamples,natural_language,1e-07,0.34390873015873014,0.5993015873015872,0.2553928571428571,0.77,2
BioBERT,MTSamples,natural_language,1e-06,0.34390873015873014,0.5981468253968254,0.25423809523809526,0.77,2
BioBERT,MTSamples,natural_language,1e-05,0.34390873015873014,0.6216349206349208,0.2777261904761906,0.78,2
BioBERT,MTSamples,natural_language,0.0001,0.34390873015873014,0.602202380952381,0.25829365079365085,0.82,2
BioBERT,MTSamples,natural_language,0.001,0.34390873015873014,0.4600119047619048,0.11610317460317465,0.76,2
BioBERT,MTSamples,natural_language,0.01,0.34390873015873014,0.30803968253968256,-0.03586904761904758,0.65,2
BioBERT,PMC-Patients,keyword,1e-07,0.421702380952381,0.4385952380952381,0.0168928571428571,0.75,2
BioBERT,PMC-Patients,keyword,1e-06,0.421702380952381,0.4410952380952381,0.0193928571428571,0.75,2
BioBERT,PMC-Patients,keyword,1e-05,0.421702380952381,0.46733730158730163,0.04563492063492064,0.78,2
BioBERT,PMC-Patients,keyword,0.0001,0.421702380952381,0.5723571428571429,0.1506547619047619,0.83,2
BioBERT,PMC-Patients,keyword,0.001,0.421702380952381,0.5681904761904761,0.14648809523809514,0.8,2
BioBERT,PMC-Patients,keyword,0.01,0.421702380952381,0.4292738095238095,0.007571428571428507,0.69,2
BioBERT,PMC-Patients,natural_language,1e-07,0.44517460317460317,0.5838015873015874,0.1386269841269842,0.81,2
BioBERT,PMC-Patients,natural_language,1e-06,0.44517460317460317,0.5841190476190476,0.13894444444444448,0.81,2
BioBERT,PMC-Patients,natural_language,1e-05,0.44517460317460317,0.6073531746031745,0.16217857142857134,0.84,2
BioBERT,PMC-Patients,natural_language,0.0001,0.44517460317460317,0.624547619047619,0.17937301587301585,0.85,2
BioBERT,PMC-Patients,natural_language,0.001,0.44517460317460317,0.5400912698412699,0.0949166666666667,0.81,2
BioBERT,PMC-Patients,natural_language,0.01,0.44517460317460317,0.3927857142857143,-0.052388888888888874,0.71,2
BioBERT,Synthetic,keyword,1e-07,0.45142857142857146,0.24160714285714285,-0.2098214285714286,0.54,2
BioBERT,Synthetic,keyword,1e-06,0.45142857142857146,0.2429404761904762,-0.20848809523809525,0.55,2
BioBERT,Synthetic,keyword,1e-05,0.45142857142857146,0.27115476190476195,-0.1802738095238095,0.57,2
BioBERT,Synthetic,keyword,0.0001,0.45142857142857146,0.3803690476190477,-0.07105952380952374,0.64,2
BioBERT,Synthetic,keyword,0.001,0.45142857142857146,0.4313134920634921,-0.020115079365079336,0.71,2
BioBERT,Synthetic,keyword,0.01,0.45142857142857146,0.4449087301587303,-0.006519841269841176,0.75,2
BioBERT,Synthetic,natural_language,1e-07,0.29038492063492066,0.22369047619047622,-0.06669444444444445,0.4,2
BioBERT,Synthetic,natural_language,1e-06,0.29038492063492066,0.2271190476190476,-0.06326587301587305,0.4,2
BioBERT,Synthetic,natural_language,1e-05,0.29038492063492066,0.2600992063492063,-0.03028571428571436,0.48,2
BioBERT,Synthetic,natural_language,0.0001,0.29038492063492066,0.3450952380952381,0.05471031746031746,0.57,2
BioBERT,Synthetic,natural_language,0.001,0.29038492063492066,0.32588492063492064,0.035499999999999976,0.59,2
BioBERT,Synthetic,natural_language,0.01,0.29038492063492066,0.3000277777777778,0.00964285714285712,0.53,2
ClinicalBERT,MTSamples,keyword,1e-07,0.18423412698412697,0.24282936507936503,0.05859523809523806,0.44,2
ClinicalBERT,MTSamples,keyword,1e-06,0.18423412698412697,0.24382936507936506,0.05959523809523809,0.45,2
ClinicalBERT,MTSamples,keyword,1e-05,0.18423412698412697,0.25637301587301586,0.07213888888888889,0.47,2
ClinicalBERT,MTSamples,keyword,0.0001,0.18423412698412697,0.30198015873015877,0.11774603174603179,0.51,2
ClinicalBERT,MTSamples,keyword,0.001,0.18423412698412697,0.2941865079365079,0.10995238095238094,0.56,2
ClinicalBERT,MTSamples,keyword,0.01,0.18423412698412697,0.1959365079365079,0.011702380952380936,0.47,2
ClinicalBERT,MTSamples,natural_language,1e-07,0.2733849206349206,0.4881626984126985,0.2147777777777779,0.72,2
ClinicalBERT,MTSamples,natural_language,1e-06,0.2733849206349206,0.4868293650793651,0.2134444444444445,0.72,2
ClinicalBERT,MTSamples,natural_language,1e-05,0.2733849206349206,0.5124126984126984,0.23902777777777784,0.75,2
ClinicalBERT,MTSamples,natural_language,0.0001,0.2733849206349206,0.5498174603174604,0.2764325396825398,0.76,2
ClinicalBERT,MTSamples,natural_language,0.001,0.2733849206349206,0.44349206349206355,0.17010714285714296,0.8,2
ClinicalBERT,MTSamples,natural_language,0.01,0.2733849206349206,0.2587896825396825,-0.014595238095238106,0.66,2
ClinicalBERT,PMC-Patients,keyword,1e-07,0.1354126984126984,0.16225793650793652,0.026845238095238116,0.35,2
ClinicalBERT,PMC-Patients,keyword,1e-06,0.1354126984126984,0.16309126984126984,0.02767857142857144,0.35,2
ClinicalBERT,PMC-Patients,keyword,1e-05,0.1354126984126984,0.16588888888888886,0.030476190476190462,0.37,2
ClinicalBERT,PMC-Patients,keyword,0.0001,0.1354126984126984,0.19083333333333333,0.055420634920634926,0.47,2
ClinicalBERT,PMC-Patients,keyword,0.001,0.1354126984126984,0.23328968253968255,0.09787698412698415,0.52,2
ClinicalBERT,PMC-Patients,keyword,0.01,0.1354126984126984,0.15853968253968254,0.023126984126984135,0.36,2
ClinicalBERT,PMC-Patients,natural_language,1e-07,0.2570079365079365,0.4084960317460318,0.15148809523809526,0.63,2
ClinicalBERT,PMC-Patients,natural_language,1e-06,0.2570079365079365,0.4104007936507936,0.1533928571428571,0.63,2
ClinicalBERT,PMC-Patients,natural_language,1e-05,0.2570079365079365,0.4228452380952381,0.1658373015873016,0.65,2
ClinicalBERT,PMC-Patients,natural_language,0.0001,0.2570079365079365,0.4697777777777778,0.21276984126984128,0.7,2
ClinicalBERT,PMC-Patients,natural_language,0.001,0.2570079365079365,0.4187619047619048,0.16175396825396826,0.69,2
ClinicalBERT,PMC-Patients,natural_language,0.01,0.2570079365079365,0.2783531746031746,0.021345238095238084,0.52,2
ClinicalBERT,Synthetic,keyword,1e-07,0.21073015873015877,0.16223015873015872,-0.04850000000000004,0.37,2
ClinicalBERT,Synthetic,keyword,1e-06,0.21073015873015877,0.16231349206349205,-0.04841666666666672,0.37,2
ClinicalBERT,Synthetic,keyword,1e-05,0.21073015873015877,0.16965873015873015,-0.04107142857142862,0.37,2
ClinicalBERT,Synthetic,keyword,0.0001,0.21073015873015877,0.22177380952380954,0.011043650793650772,0.42,2
ClinicalBERT,Synthetic,keyword,0.001,0.21073015873015877,0.22362301587301583,0.012892857142857067,0.5,2
ClinicalBERT,Synthetic,keyword,0.01,0.21073015873015877,0.20488095238095239,-0.005849206349206382,0.52,2
ClinicalBERT,Synthetic,natural_language,1e-07,0.31600793650793646,0.17190079365079367,-0.1441071428571428,0.38,2
ClinicalBERT,Synthetic,natural_language,1e-06,0.31600793650793646,0.17140079365079364,-0.14460714285714282,0.38,2
ClinicalBERT,Synthetic,natural_language,1e-05,0.31600793650793646,0.16734126984126985,-0.1486666666666666,0.38,2
ClinicalBERT,Synthetic,natural_language,0.0001,0.31600793650793646,0.1927063492063492,-0.12330158730158727,0.42,2
ClinicalBERT,Synthetic,natural_language,0.001,0.31600793650793646,0.2660515873015873,-0.04995634920634917,0.57,2
ClinicalBERT,Synthetic,natural_language,0.01,0.31600793650793646,0.29158730158730156,-0.0244206349206349,0.62,2
