Configuration,Language,Baseline MRR,Published baseline,Absolute difference,Analysis
codebert,ruby,0.0068,0.006,0.0007999999999999995,primary baseline replication (3 model families x 6 languages)
codebert,javascript,0.0026,0.002,0.0005999999999999998,primary baseline replication (3 model families x 6 languages)
codebert,go,0.0024,0.002,0.00039999999999999975,primary baseline replication (3 model families x 6 languages)
codebert,java,0.0009,0.0,0.0009,primary baseline replication (3 model families x 6 languages)
codebert,python,0.001,0.001,0.0,primary baseline replication (3 model families x 6 languages)
codebert,php,0.0006,0.0,0.0006,primary baseline replication (3 model families x 6 languages)
codet5p,ruby,0.706,0.705,0.0010000000000000009,primary baseline replication (3 model families x 6 languages)
codet5p,javascript,0.6384,0.638,0.00039999999999995595,primary baseline replication (3 model families x 6 languages)
codet5p,go,0.7579,0.757,0.0009000000000000119,primary baseline replication (3 model families x 6 languages)
codet5p,java,0.5951,0.595,9.999999999998899e-05,primary baseline replication (3 model families x 6 languages)
codet5p,python,0.7219,0.721,0.0009000000000000119,primary baseline replication (3 model families x 6 languages)
codet5p,php,0.5371,0.537,9.999999999998899e-05,primary baseline replication (3 model families x 6 languages)
codellama,ruby,0.0479,0.047,0.000899999999999998,primary baseline replication (3 model families x 6 languages)
codellama,javascript,0.0262,0.026,0.00020000000000000226,primary baseline replication (3 model families x 6 languages)
codellama,go,0.0314,0.031,0.0003999999999999976,primary baseline replication (3 model families x 6 languages)
codellama,java,0.0159,0.015,0.0009000000000000015,primary baseline replication (3 model families x 6 languages)
codellama,python,0.0172,0.017,0.0001999999999999988,primary baseline replication (3 model families x 6 languages)
codellama,php,0.0097,0.009,0.000700000000000001,primary baseline replication (3 model families x 6 languages)
