Configuration,Language,Epsilon,Contrastively trained,Baseline MRR,Whitened MRR,dMRR,Analysis
codebert,ruby,0.0,False,0.0068,0.1269,0.1201,primary replication grid
codebert,ruby,0.0001,False,0.0068,0.1954,0.1886,primary replication grid
codebert,ruby,0.001,False,0.0068,0.2295,0.2227,primary replication grid
codebert,ruby,0.01,False,0.0068,0.2369,0.2301,primary replication grid
codebert,ruby,0.1,False,0.0068,0.1894,0.1827,primary replication grid
codebert,ruby,1.0,False,0.0068,0.0955,0.0887,primary replication grid
codebert,javascript,0.0,False,0.0026,0.0996,0.0971,primary replication grid
codebert,javascript,0.0001,False,0.0026,0.123,0.1205,primary replication grid
codebert,javascript,0.001,False,0.0026,0.141,0.1384,primary replication grid
codebert,javascript,0.01,False,0.0026,0.1447,0.1422,primary replication grid
codebert,javascript,0.1,False,0.0026,0.1044,0.1018,primary replication grid
codebert,javascript,1.0,False,0.0026,0.0476,0.045,primary replication grid
codebert,go,0.0,False,0.0024,0.0021,-0.0003,primary replication grid
codebert,go,0.0001,False,0.0024,0.2351,0.2327,primary replication grid
codebert,go,0.001,False,0.0024,0.2533,0.2509,primary replication grid
codebert,go,0.01,False,0.0024,0.2473,0.2449,primary replication grid
codebert,go,0.1,False,0.0024,0.1747,0.1722,primary replication grid
codebert,go,1.0,False,0.0024,0.078,0.0756,primary replication grid
codebert,java,0.0,False,0.0009,0.0007,-0.0002,primary replication grid
codebert,java,0.0001,False,0.0009,0.1367,0.1359,primary replication grid
codebert,java,0.001,False,0.0009,0.1495,0.1486,primary replication grid
codebert,java,0.01,False,0.0009,0.1434,0.1425,primary replication grid
codebert,java,0.1,False,0.0009,0.1028,0.1019,primary replication grid
codebert,java,1.0,False,0.0009,0.0478,0.0469,primary replication grid
codebert,python,0.0,False,0.001,0.0295,0.0285,primary replication grid
codebert,python,0.0001,False,0.001,0.1401,0.1391,primary replication grid
codebert,python,0.001,False,0.001,0.1571,0.156,primary replication grid
codebert,python,0.01,False,0.001,0.1578,0.1567,primary replication grid
codebert,python,0.1,False,0.001,0.1101,0.1091,primary replication grid
codebert,python,1.0,False,0.001,0.0504,0.0494,primary replication grid
codebert,php,0.0,False,0.0006,0.0005,-0.0001,primary replication grid
codebert,php,0.0001,False,0.0006,0.0936,0.093,primary replication grid
codebert,php,0.001,False,0.0006,0.1028,0.1022,primary replication grid
codebert,php,0.01,False,0.0006,0.0997,0.099,primary replication grid
codebert,php,0.1,False,0.0006,0.0684,0.0678,primary replication grid
codebert,php,1.0,False,0.0006,0.0287,0.0281,primary replication grid
codebert,r,0.0,False,0.0172,0.0927,0.0754,extended regularisation analysis
codebert,r,0.0001,False,0.0172,0.1167,0.0994,extended regularisation analysis
codebert,r,0.001,False,0.0172,0.139,0.1217,extended regularisation analysis
codebert,r,0.01,False,0.0172,0.1394,0.1222,extended regularisation analysis
codebert,r,0.1,False,0.0172,0.1112,0.094,extended regularisation analysis
codebert,r,1.0,False,0.0172,0.0652,0.048,extended regularisation analysis
codebert_ft,ruby,0.0,True,0.5996,0.6529,0.0532,extended regularisation analysis
codebert_ft,ruby,0.0001,True,0.5996,0.653,0.0533,extended regularisation analysis
codebert_ft,ruby,0.001,True,0.5996,0.6545,0.0549,extended regularisation analysis
codebert_ft,ruby,0.01,True,0.5996,0.6528,0.0532,extended regularisation analysis
codebert_ft,ruby,0.1,True,0.5996,0.6414,0.0417,extended regularisation analysis
codebert_ft,ruby,1.0,True,0.5996,0.6259,0.0263,extended regularisation analysis
codebert_ft,javascript,0.0,True,0.5188,0.5644,0.0456,extended regularisation analysis
codebert_ft,javascript,0.0001,True,0.5188,0.5649,0.0461,extended regularisation analysis
codebert_ft,javascript,0.001,True,0.5188,0.565,0.0463,extended regularisation analysis
codebert_ft,javascript,0.01,True,0.5188,0.5619,0.0431,extended regularisation analysis
codebert_ft,javascript,0.1,True,0.5188,0.5514,0.0326,extended regularisation analysis
codebert_ft,javascript,1.0,True,0.5188,0.5379,0.0192,extended regularisation analysis
codebert_ft,go,0.0,True,0.6315,0.5761,-0.0554,extended regularisation analysis
codebert_ft,go,0.0001,True,0.6315,0.6823,0.0508,extended regularisation analysis
codebert_ft,go,0.001,True,0.6315,0.6819,0.0504,extended regularisation analysis
codebert_ft,go,0.01,True,0.6315,0.679,0.0475,extended regularisation analysis
codebert_ft,go,0.1,True,0.6315,0.6698,0.0383,extended regularisation analysis
codebert_ft,go,1.0,True,0.6315,0.658,0.0265,extended regularisation analysis
