corpus,model,tier,query_format,n_docs,B,delta_full,correct,p_correct,ci_lo,ci_hi
er_reason,BERT-base-uncased,2,nl,10,500,0.08657142857142859,380,0.76,0.7206724477826185,0.7953627505813117
er_reason,BERT-base-uncased,2,nl,20,500,0.08657142857142859,456,0.912,0.8839229514479334,0.9337943628826022
er_reason,BERT-base-uncased,2,nl,30,500,0.08657142857142859,475,0.95,0.9272313499731688,0.965906493349018
er_reason,BERT-base-uncased,2,nl,50,500,0.08657142857142859,493,0.986,0.9713865738597492,0.9932022969282127
er_reason,BERT-base-uncased,2,nl,75,500,0.08657142857142859,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BERT-base-uncased,2,keyword,10,500,0.10138888888888895,402,0.804,0.7669417867660043,0.8364224451672065
er_reason,BERT-base-uncased,2,keyword,20,500,0.10138888888888895,468,0.936,0.9110470662066095,0.954304266434443
er_reason,BERT-base-uncased,2,keyword,30,500,0.10138888888888895,488,0.976,0.9585225403081018,0.9862188228504781
er_reason,BERT-base-uncased,2,keyword,50,500,0.10138888888888895,499,0.998,0.9887590072528046,0.9996468726904154
er_reason,BERT-base-uncased,2,keyword,75,500,0.10138888888888895,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BGE-base,1,nl,10,500,-0.14096031746031734,123,0.246,0.2102803738317757,0.2855929323819232
er_reason,BGE-base,1,nl,20,500,-0.14096031746031734,274,0.548,0.5041745952330335,0.5910934413879999
er_reason,BGE-base,1,nl,30,500,-0.14096031746031734,412,0.824,0.788185127237469,0.8548741199545055
er_reason,BGE-base,1,nl,50,500,-0.14096031746031734,490,0.98,0.9635794314459021,0.9891009347644306
er_reason,BGE-base,1,nl,75,500,-0.14096031746031734,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BGE-base,1,keyword,10,500,-0.0953611111111109,142,0.284,0.24623711212056168,0.32505672308478845
er_reason,BGE-base,1,keyword,20,500,-0.0953611111111109,304,0.608,0.5645397124401949,0.6498133699571299
er_reason,BGE-base,1,keyword,30,500,-0.0953611111111109,363,0.726,0.6852936486809578,0.7632600237430738
er_reason,BGE-base,1,keyword,50,500,-0.0953611111111109,438,0.876,0.8442119499943469,0.9020543368704138
er_reason,BGE-base,1,keyword,75,500,-0.0953611111111109,493,0.986,0.9713865738597492,0.9932022969282127
er_reason,BioBERT,2,nl,10,500,0.17075000000000007,400,0.8,0.7627101702740526,0.8327150586074055
er_reason,BioBERT,2,nl,20,500,0.17075000000000007,463,0.926,0.8996646988891734,0.945839126122497
er_reason,BioBERT,2,nl,30,500,0.17075000000000007,496,0.992,0.9796126401630988,0.9968847352024922
er_reason,BioBERT,2,nl,50,500,0.17075000000000007,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BioBERT,2,nl,75,500,0.17075000000000007,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BioBERT,2,keyword,10,500,0.18063095238095236,399,0.798,0.7605963875890438,0.8308593397665378
er_reason,BioBERT,2,keyword,20,500,0.18063095238095236,484,0.968,0.9486546984063574,0.980208658648717
er_reason,BioBERT,2,keyword,30,500,0.18063095238095236,498,0.996,0.9855339859585811,0.9989023924587627
er_reason,BioBERT,2,keyword,50,500,0.18063095238095236,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BioBERT,2,keyword,75,500,0.18063095238095236,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BioLORD-2023,1,nl,10,500,-0.20713888888888876,247,0.494,0.4503893365060508,0.5377021589163201
er_reason,BioLORD-2023,1,nl,20,500,-0.20713888888888876,431,0.862,0.8289973296731233,0.8894824465105026
er_reason,BioLORD-2023,1,nl,30,500,-0.20713888888888876,485,0.97,0.9510959078150344,0.9817369507659165
er_reason,BioLORD-2023,1,nl,50,500,-0.20713888888888876,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BioLORD-2023,1,nl,75,500,-0.20713888888888876,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,BioLORD-2023,1,keyword,10,500,-0.13153968253968246,311,0.622,0.5787196479091447,0.6634199451693149
er_reason,BioLORD-2023,1,keyword,20,500,-0.13153968253968246,392,0.784,0.7458363816926995,0.8178328349817475
er_reason,BioLORD-2023,1,keyword,30,500,-0.13153968253968246,441,0.882,0.8507673840349824,0.9074074074074073
er_reason,BioLORD-2023,1,keyword,50,500,-0.13153968253968246,481,0.962,0.9414147746007343,0.9755400778767108
