corpus,variant,query_format,model,tier,max_len_used,baseline_MRR10,zca_MRR10,delta_MRR10
er_reason,hpi,nl,BioBERT,2,512,0.0799365079365079,0.250686507936508,0.17075
er_reason,hpi,keyword,BioBERT,2,512,0.1716150793650794,0.3522460317460317,0.1806309523809523
er_reason,hpi,nl,ClinicalBERT,2,512,0.175234126984127,0.2620912698412698,0.0868571428571428
er_reason,hpi,keyword,ClinicalBERT,2,512,0.1787301587301587,0.3282063492063491,0.1494761904761904
er_reason,hpi,nl,BERT-base-uncased,2,512,0.0660079365079365,0.1525793650793651,0.0865714285714285
er_reason,hpi,keyword,BERT-base-uncased,2,512,0.1190198412698412,0.2204087301587302,0.1013888888888889
er_reason,hpi,nl,BioLORD-2023,1,512,0.6635238095238094,0.4563849206349206,-0.2071388888888887
er_reason,hpi,keyword,BioLORD-2023,1,512,0.5552857142857143,0.4237460317460318,-0.1315396825396824
er_reason,hpi,nl,MedCPT,1,512,0.5796071428571429,0.4243849206349207,-0.1552222222222221
er_reason,hpi,keyword,MedCPT,1,512,0.6882777777777777,0.472063492063492,-0.2162142857142856
er_reason,hpi,nl,BGE-base,1,512,0.8174285714285713,0.6764682539682539,-0.1409603174603173
er_reason,hpi,keyword,BGE-base,1,512,0.7422341269841268,0.6468730158730159,-0.0953611111111109
er_reason,hpi,nl,GTE-base,1,512,0.8108730158730159,0.718345238095238,-0.0925277777777778
er_reason,hpi,keyword,GTE-base,1,512,0.7573452380952381,0.671,-0.086345238095238
er_reason,hpi,nl,Nomic-embed-text,1,512,0.8061666666666667,0.7276666666666667,-0.0785
er_reason,hpi,keyword,Nomic-embed-text,1,512,0.7360833333333333,0.6402539682539683,-0.095829365079365
er_reason,hpi,nl,Nomic-embed-text-nopfx,1,512,0.7192619047619047,0.4922142857142857,-0.2270476190476189
er_reason,hpi,keyword,Nomic-embed-text-nopfx,1,512,0.672595238095238,0.563702380952381,-0.108892857142857
er_reason,hpi,nl,E5-Mistral-7B,2,4096,0.1008571428571428,0.1512142857142857,0.0503571428571428
er_reason,hpi,keyword,E5-Mistral-7B,2,4096,0.0996230158730158,0.1873690476190476,0.0877460317460317
er_reason,hpi,nl,E5-Mistral-7B-ablation,2,4096,0.4496626984126984,0.6226626984126984,0.173
er_reason,hpi,keyword,E5-Mistral-7B-ablation,2,4096,0.3820753968253968,0.5566944444444445,0.1746190476190476
er_reason,hpi,nl,Phi-3-mini,2,4096,0.2976071428571428,0.5293333333333333,0.2317261904761904
er_reason,hpi,keyword,Phi-3-mini,2,4096,0.2097777777777777,0.4714404761904762,0.2616626984126984
er_reason,hpi,nl,BioMistral-7B,2,2048,0.1486785714285714,0.362765873015873,0.2140873015873015
er_reason,hpi,keyword,BioMistral-7B,2,2048,0.1476746031746031,0.2590079365079364,0.1113333333333332
er_reason,hpi,nl,BioBERT,2,512,0.0799365079365079,0.250686507936508,0.17075
er_reason,hpi,keyword,BioBERT,2,512,0.1716150793650794,0.3522460317460317,0.1806309523809523
er_reason,hpi,nl,ClinicalBERT,2,512,0.175234126984127,0.2620912698412698,0.0868571428571428
er_reason,hpi,keyword,ClinicalBERT,2,512,0.1787301587301587,0.3282063492063491,0.1494761904761904
er_reason,hpi,nl,BERT-base-uncased,2,512,0.0660079365079365,0.1525793650793651,0.0865714285714285
er_reason,hpi,keyword,BERT-base-uncased,2,512,0.1190198412698412,0.2204087301587302,0.1013888888888889
er_reason,hpi,nl,BioLORD-2023,1,512,0.6635238095238094,0.4563849206349206,-0.2071388888888887
er_reason,hpi,keyword,BioLORD-2023,1,512,0.5552857142857143,0.4237460317460318,-0.1315396825396824
er_reason,hpi,nl,MedCPT,1,512,0.5796071428571429,0.4243849206349207,-0.1552222222222221
er_reason,hpi,keyword,MedCPT,1,512,0.6882777777777777,0.472063492063492,-0.2162142857142856
er_reason,hpi,nl,BGE-base,1,512,0.8174285714285713,0.6764682539682539,-0.1409603174603173
er_reason,hpi,keyword,BGE-base,1,512,0.7422341269841268,0.6468730158730159,-0.0953611111111109
er_reason,hpi,nl,GTE-base,1,512,0.8108730158730159,0.718345238095238,-0.0925277777777778
er_reason,hpi,keyword,GTE-base,1,512,0.7573452380952381,0.671,-0.086345238095238
er_reason,hpi,nl,Nomic-embed-text,1,512,0.8061666666666667,0.7276666666666667,-0.0785
er_reason,hpi,keyword,Nomic-embed-text,1,512,0.7360833333333333,0.6402539682539683,-0.095829365079365
er_reason,hpi,nl,Nomic-embed-text-nopfx,1,512,0.7192619047619047,0.4922142857142857,-0.2270476190476189
er_reason,hpi,keyword,Nomic-embed-text-nopfx,1,512,0.672595238095238,0.563702380952381,-0.108892857142857
er_reason,hpi,nl,E5-Mistral-7B,2,4096,0.1008571428571428,0.1512142857142857,0.0503571428571428
er_reason,hpi,keyword,E5-Mistral-7B,2,4096,0.0996230158730158,0.1873690476190476,0.0877460317460317
er_reason,hpi,nl,E5-Mistral-7B-ablation,2,4096,0.4496626984126984,0.6226626984126984,0.173
er_reason,hpi,keyword,E5-Mistral-7B-ablation,2,4096,0.3820753968253968,0.5566944444444445,0.1746190476190476
er_reason,hpi,nl,Phi-3-mini,2,4096,0.2976071428571428,0.5293333333333333,0.2317261904761904
er_reason,hpi,keyword,Phi-3-mini,2,4096,0.2097777777777777,0.4714404761904762,0.2616626984126984
er_reason,hpi,nl,BioMistral-7B,2,2048,0.1486785714285714,0.362765873015873,0.2140873015873015
er_reason,hpi,keyword,BioMistral-7B,2,2048,0.1476746031746031,0.2590079365079364,0.1113333333333332
mimic_discharge,hpi,nl,BioBERT,2,512,0.1257063492063491,0.2585357142857142,0.132829365079365
mimic_discharge,hpi,keyword,BioBERT,2,512,0.1598571428571428,0.3405396825396825,0.1806825396825396
mimic_discharge,hpi,nl,ClinicalBERT,2,512,0.1608690476190476,0.2485753968253968,0.0877063492063491
mimic_discharge,hpi,keyword,ClinicalBERT,2,512,0.1852579365079364,0.2997142857142857,0.1144563492063492
mimic_discharge,hpi,nl,BERT-base-uncased,2,512,0.1199801587301587,0.1439682539682539,0.0239880952380952
mimic_discharge,hpi,keyword,BERT-base-uncased,2,512,0.1066150793650793,0.1999920634920634,0.093376984126984
mimic_discharge,hpi,nl,BioLORD-2023,1,512,0.6457857142857144,0.5586507936507936,-0.0871349206349207
mimic_discharge,hpi,keyword,BioLORD-2023,1,512,0.6002301587301588,0.5434801587301586,-0.0567500000000001
mimic_discharge,hpi,nl,MedCPT,1,512,0.4938134920634921,0.4244722222222222,-0.0693412698412698
mimic_discharge,hpi,keyword,MedCPT,1,512,0.6744007936507935,0.6178968253968254,-0.056503968253968
mimic_discharge,hpi,nl,BGE-base,1,512,0.8161230158730161,0.7554563492063491,-0.0606666666666669
mimic_discharge,hpi,keyword,BGE-base,1,512,0.7972619047619048,0.7669285714285715,-0.0303333333333333
mimic_discharge,hpi,nl,GTE-base,1,512,0.858984126984127,0.7880515873015874,-0.0709325396825395
mimic_discharge,hpi,keyword,GTE-base,1,512,0.8250396825396824,0.7716349206349206,-0.0534047619047618
mimic_discharge,hpi,nl,Nomic-embed-text,1,512,0.7763730158730158,0.6945198412698413,-0.0818531746031744
mimic_discharge,hpi,keyword,Nomic-embed-text,1,512,0.7640277777777778,0.6786666666666668,-0.085361111111111
mimic_discharge,hpi,nl,Nomic-embed-text-nopfx,1,512,0.728111111111111,0.6436349206349206,-0.0844761904761904
mimic_discharge,hpi,keyword,Nomic-embed-text-nopfx,1,512,0.7419563492063491,0.6912896825396825,-0.0506666666666666
mimic_discharge,hpi,nl,E5-Mistral-7B,2,4096,0.0931904761904761,0.1263531746031746,0.0331626984126984
mimic_discharge,hpi,keyword,E5-Mistral-7B,2,4096,0.0503174603174603,0.1818730158730158,0.1315555555555555
mimic_discharge,hpi,nl,E5-Mistral-7B-ablation,2,4096,0.4095119047619047,0.6836507936507936,0.2741388888888889
mimic_discharge,hpi,keyword,E5-Mistral-7B-ablation,2,4096,0.3763571428571428,0.5460515873015873,0.1696944444444444
mimic_discharge,hpi,nl,Phi-3-mini,2,4096,0.3070873015873016,0.4460238095238095,0.1389365079365079
mimic_discharge,hpi,keyword,Phi-3-mini,2,4096,0.270595238095238,0.4739682539682539,0.2033730158730158
mimic_discharge,hpi,nl,BioMistral-7B,2,2048,0.2496785714285714,0.3804007936507936,0.1307222222222222
mimic_discharge,hpi,keyword,BioMistral-7B,2,2048,0.193813492063492,0.3722698412698413,0.1784563492063492
er_reason,full512,nl,BioBERT,2,512,0.05219444444444444,0.22698412698412698,0.17478968253968255
er_reason,full512,keyword,BioBERT,2,512,0.14992460317460318,0.27634126984126983,0.12641666666666665
er_reason,full512,nl,ClinicalBERT,2,512,0.18621825396825398,0.2485753968253968,0.06235714285714283
er_reason,full512,keyword,ClinicalBERT,2,512,0.16730555555555557,0.24760714285714283,0.08030158730158726
er_reason,full512,nl,BERT-base-uncased,2,512,0.06558333333333334,0.15093650793650795,0.08535317460317461
er_reason,full512,keyword,BERT-base-uncased,2,512,0.07654761904761903,0.16817857142857143,0.0916309523809524
er_reason,full512,nl,BioLORD-2023,1,512,0.7900515873015873,0.6104246031746032,-0.17962698412698408
er_reason,full512,keyword,BioLORD-2023,1,512,0.679595238095238,0.5311746031746032,-0.14842063492063484
er_reason,full512,nl,MedCPT,1,512,0.7651904761904761,0.5593571428571429,-0.2058333333333332
er_reason,full512,keyword,MedCPT,1,512,0.7750277777777778,0.5891944444444445,-0.1858333333333333
er_reason,full512,nl,BGE-base,1,512,0.8496944444444445,0.7955634920634921,-0.054130952380952446
er_reason,full512,keyword,BGE-base,1,512,0.8004404761904762,0.7364285714285714,-0.06401190476190477
er_reason,full512,nl,GTE-base,1,512,0.8595,0.7892619047619048,-0.07023809523809521
er_reason,full512,keyword,GTE-base,1,512,0.8058015873015872,0.7397063492063493,-0.06609523809523798
er_reason,full512,nl,Nomic-embed-text,1,512,0.8808333333333335,0.7556666666666666,-0.12516666666666687
er_reason,full512,keyword,Nomic-embed-text,1,512,0.7836785714285714,0.723190476190476,-0.060488095238095396
er_reason,full512,nl,Nomic-embed-text-nopfx,1,512,0.8583888888888888,0.7161944444444444,-0.1421944444444444
er_reason,full512,keyword,Nomic-embed-text-nopfx,1,512,0.7853333333333333,0.6860119047619047,-0.09932142857142867
er_reason,full512,nl,E5-Mistral-7B,2,512,0.5641349206349205,0.4658849206349207,-0.09824999999999984
er_reason,full512,keyword,E5-Mistral-7B,2,512,0.5783015873015873,0.4386785714285714,-0.1396230158730159
er_reason,full512,nl,E5-Mistral-7B-ablation,2,512,0.45445634920634925,0.7133333333333333,0.258876984126984
er_reason,full512,keyword,E5-Mistral-7B-ablation,2,512,0.5242857142857144,0.6354523809523811,0.11116666666666675
er_reason,full512,nl,Phi-3-mini,2,512,0.2548611111111111,0.6099007936507936,0.35503968253968254
er_reason,full512,keyword,Phi-3-mini,2,512,0.30684126984126986,0.5892698412698413,0.2824285714285714
er_reason,full512,nl,BioMistral-7B,2,512,0.12884523809523812,0.3329404761904762,0.20409523809523805
er_reason,full512,keyword,BioMistral-7B,2,512,0.1815277777777778,0.3328849206349206,0.1513571428571428
er_reason,hpi,nl,BioBERT,2,512,0.0799365079365079,0.250686507936508,0.17075
er_reason,hpi,keyword,BioBERT,2,512,0.1716150793650794,0.3522460317460317,0.1806309523809523
er_reason,hpi,nl,ClinicalBERT,2,512,0.175234126984127,0.2620912698412698,0.0868571428571428
er_reason,hpi,keyword,ClinicalBERT,2,512,0.1787301587301587,0.3282063492063491,0.1494761904761904
er_reason,hpi,nl,BERT-base-uncased,2,512,0.0660079365079365,0.1525793650793651,0.0865714285714285
er_reason,hpi,keyword,BERT-base-uncased,2,512,0.1190198412698412,0.2204087301587302,0.1013888888888889
er_reason,hpi,nl,BioLORD-2023,1,512,0.6635238095238094,0.4563849206349206,-0.2071388888888887
er_reason,hpi,keyword,BioLORD-2023,1,512,0.5552857142857143,0.4237460317460318,-0.1315396825396824
er_reason,hpi,nl,MedCPT,1,512,0.5796071428571429,0.4243849206349207,-0.1552222222222221
er_reason,hpi,keyword,MedCPT,1,512,0.6882777777777777,0.472063492063492,-0.2162142857142856
er_reason,hpi,nl,BGE-base,1,512,0.8174285714285713,0.6764682539682539,-0.1409603174603173
er_reason,hpi,keyword,BGE-base,1,512,0.7422341269841268,0.6468730158730159,-0.0953611111111109
er_reason,hpi,nl,GTE-base,1,512,0.8108730158730159,0.718345238095238,-0.0925277777777778
er_reason,hpi,keyword,GTE-base,1,512,0.7573452380952381,0.671,-0.086345238095238
er_reason,hpi,nl,Nomic-embed-text,1,512,0.8061666666666667,0.7276666666666667,-0.0785
er_reason,hpi,keyword,Nomic-embed-text,1,512,0.7360833333333333,0.6402539682539683,-0.095829365079365
er_reason,hpi,nl,Nomic-embed-text-nopfx,1,512,0.7192619047619047,0.4922142857142857,-0.2270476190476189
er_reason,hpi,keyword,Nomic-embed-text-nopfx,1,512,0.672595238095238,0.563702380952381,-0.108892857142857
er_reason,hpi,nl,E5-Mistral-7B,2,4096,0.1008571428571428,0.1512142857142857,0.0503571428571428
er_reason,hpi,keyword,E5-Mistral-7B,2,4096,0.0996230158730158,0.1873690476190476,0.0877460317460317
er_reason,hpi,nl,E5-Mistral-7B-ablation,2,4096,0.4496626984126984,0.6226626984126984,0.173
er_reason,hpi,keyword,E5-Mistral-7B-ablation,2,4096,0.3820753968253968,0.5566944444444445,0.1746190476190476
er_reason,hpi,nl,Phi-3-mini,2,4096,0.2976071428571428,0.5293333333333333,0.2317261904761904
er_reason,hpi,keyword,Phi-3-mini,2,4096,0.2097777777777777,0.4714404761904762,0.2616626984126984
er_reason,hpi,nl,BioMistral-7B,2,2048,0.1486785714285714,0.362765873015873,0.2140873015873015
er_reason,hpi,keyword,BioMistral-7B,2,2048,0.1476746031746031,0.2590079365079364,0.1113333333333332
er_reason,hpi,nl,BioBERT,2,512,0.0799365079365079,0.250686507936508,0.17075
er_reason,hpi,keyword,BioBERT,2,512,0.1716150793650794,0.3522460317460317,0.1806309523809523
er_reason,hpi,nl,ClinicalBERT,2,512,0.175234126984127,0.2620912698412698,0.0868571428571428
er_reason,hpi,keyword,ClinicalBERT,2,512,0.1787301587301587,0.3282063492063491,0.1494761904761904
er_reason,hpi,nl,BERT-base-uncased,2,512,0.0660079365079365,0.1525793650793651,0.0865714285714285
er_reason,hpi,keyword,BERT-base-uncased,2,512,0.1190198412698412,0.2204087301587302,0.1013888888888889
er_reason,hpi,nl,BioLORD-2023,1,512,0.6635238095238094,0.4563849206349206,-0.2071388888888887
er_reason,hpi,keyword,BioLORD-2023,1,512,0.5552857142857143,0.4237460317460318,-0.1315396825396824
er_reason,hpi,nl,MedCPT,1,512,0.5796071428571429,0.4243849206349207,-0.1552222222222221
er_reason,hpi,keyword,MedCPT,1,512,0.6882777777777777,0.472063492063492,-0.2162142857142856
er_reason,hpi,nl,BGE-base,1,512,0.8174285714285713,0.6764682539682539,-0.1409603174603173
er_reason,hpi,keyword,BGE-base,1,512,0.7422341269841268,0.6468730158730159,-0.0953611111111109
er_reason,hpi,nl,GTE-base,1,512,0.8108730158730159,0.718345238095238,-0.0925277777777778
er_reason,hpi,keyword,GTE-base,1,512,0.7573452380952381,0.671,-0.086345238095238
er_reason,hpi,nl,Nomic-embed-text,1,512,0.8061666666666667,0.7276666666666667,-0.0785
er_reason,hpi,keyword,Nomic-embed-text,1,512,0.7360833333333333,0.6402539682539683,-0.095829365079365
er_reason,hpi,nl,Nomic-embed-text-nopfx,1,512,0.7192619047619047,0.4922142857142857,-0.2270476190476189
er_reason,hpi,keyword,Nomic-embed-text-nopfx,1,512,0.672595238095238,0.563702380952381,-0.108892857142857
er_reason,hpi,nl,E5-Mistral-7B,2,4096,0.1008571428571428,0.1512142857142857,0.0503571428571428
er_reason,hpi,keyword,E5-Mistral-7B,2,4096,0.0996230158730158,0.1873690476190476,0.0877460317460317
er_reason,hpi,nl,E5-Mistral-7B-ablation,2,4096,0.4496626984126984,0.6226626984126984,0.173
er_reason,hpi,keyword,E5-Mistral-7B-ablation,2,4096,0.3820753968253968,0.5566944444444445,0.1746190476190476
er_reason,hpi,nl,Phi-3-mini,2,4096,0.2976071428571428,0.5293333333333333,0.2317261904761904
er_reason,hpi,keyword,Phi-3-mini,2,4096,0.2097777777777777,0.4714404761904762,0.2616626984126984
er_reason,hpi,nl,BioMistral-7B,2,2048,0.1486785714285714,0.362765873015873,0.2140873015873015
er_reason,hpi,keyword,BioMistral-7B,2,2048,0.1476746031746031,0.2590079365079364,0.1113333333333332
mimic_discharge,hpi,nl,BioBERT,2,512,0.1257063492063491,0.2585357142857142,0.132829365079365
mimic_discharge,hpi,keyword,BioBERT,2,512,0.1598571428571428,0.3405396825396825,0.1806825396825396
mimic_discharge,hpi,nl,ClinicalBERT,2,512,0.1608690476190476,0.2485753968253968,0.0877063492063491
mimic_discharge,hpi,keyword,ClinicalBERT,2,512,0.1852579365079364,0.2997142857142857,0.1144563492063492
mimic_discharge,hpi,nl,BERT-base-uncased,2,512,0.1199801587301587,0.1439682539682539,0.0239880952380952
mimic_discharge,hpi,keyword,BERT-base-uncased,2,512,0.1066150793650793,0.1999920634920634,0.093376984126984
mimic_discharge,hpi,nl,BioLORD-2023,1,512,0.6457857142857144,0.5586507936507936,-0.0871349206349207
mimic_discharge,hpi,keyword,BioLORD-2023,1,512,0.6002301587301588,0.5434801587301586,-0.0567500000000001
