query_set,query_format,model,tier,baseline_MRR10,zca_MRR10,delta_MRR10
gpt4o,nl,BioBERT,2,0.34390873015873014,0.6225238095238095,0.27861507936507934
gpt4o,keyword,BioBERT,2,0.4289563492063492,0.5281388888888889,0.09918253968253976
local,nl,BioBERT,2,0.302234126984127,0.5677261904761904,0.26549206349206345
local,keyword,BioBERT,2,0.2918253968253968,0.41888492063492067,0.12705952380952384
gpt4o,nl,ClinicalBERT,2,0.3286428571428571,0.5461626984126984,0.21751984126984125
gpt4o,keyword,ClinicalBERT,2,0.46810714285714283,0.43654761904761896,-0.03155952380952387
local,nl,ClinicalBERT,2,0.2954126984126984,0.4583968253968254,0.162984126984127
local,keyword,ClinicalBERT,2,0.3980634920634922,0.35808333333333336,-0.03998015873015881
gpt4o,nl,BERT-base-uncased,2,0.20890873015873015,0.3771904761904763,0.16828174603174614
gpt4o,keyword,BERT-base-uncased,2,0.2380595238095238,0.34055555555555556,0.10249603174603175
local,nl,BERT-base-uncased,2,0.2138293650793651,0.3510119047619048,0.1371825396825397
local,keyword,BERT-base-uncased,2,0.22203174603174602,0.26794047619047623,0.045908730158730204
gpt4o,nl,BioLORD-2023,1,0.8807619047619047,0.8389444444444445,-0.04181746031746025
gpt4o,keyword,BioLORD-2023,1,0.8155952380952382,0.7857857142857142,-0.029809523809523952
local,nl,BioLORD-2023,1,0.925,0.87275,-0.05225000000000002
local,keyword,BioLORD-2023,1,0.7845833333333334,0.7652579365079366,-0.0193253968253968
gpt4o,nl,MedCPT,1,0.8036111111111112,0.7504801587301587,-0.053130952380952445
gpt4o,keyword,MedCPT,1,0.8808333333333332,0.8099285714285714,-0.0709047619047618
local,nl,MedCPT,1,0.8652738095238095,0.7747619047619048,-0.09051190476190474
local,keyword,MedCPT,1,0.8623730158730158,0.7657619047619048,-0.09661111111111109
gpt4o,nl,BGE-base,1,0.9291666666666666,0.8979444444444445,-0.03122222222222204
gpt4o,keyword,BGE-base,1,0.9241666666666666,0.8918015873015872,-0.032365079365079374
local,nl,BGE-base,1,0.935,0.9219444444444445,-0.013055555555555598
local,keyword,BGE-base,1,0.9226785714285713,0.8933333333333334,-0.029345238095237924
gpt4o,nl,GTE-base,1,0.9394999999999999,0.9000952380952382,-0.03940476190476172
gpt4o,keyword,GTE-base,1,0.9317619047619047,0.8893452380952381,-0.04241666666666655
local,nl,GTE-base,1,0.9608333333333333,0.9286666666666666,-0.03216666666666668
local,keyword,GTE-base,1,0.9297619047619048,0.9175,-0.012261904761904807
gpt4o,nl,Nomic-embed-text,1,0.9366666666666665,0.9036666666666667,-0.03299999999999981
gpt4o,keyword,Nomic-embed-text,1,0.9203333333333333,0.8770833333333333,-0.04325000000000001
local,nl,Nomic-embed-text,1,0.9275,0.86075,-0.06674999999999998
local,keyword,Nomic-embed-text,1,0.9319444444444445,0.8701071428571427,-0.06183730158730172
gpt4o,nl,Nomic-embed-text-nopfx,1,0.938095238095238,0.9126666666666666,-0.025428571428571356
gpt4o,keyword,Nomic-embed-text-nopfx,1,0.9061111111111111,0.8850952380952382,-0.021015873015872932
local,nl,Nomic-embed-text-nopfx,1,0.9416666666666665,0.9051666666666668,-0.036499999999999755
local,keyword,Nomic-embed-text-nopfx,1,0.9014285714285714,0.8923333333333332,-0.009095238095238156
gpt4o,nl,E5-Mistral-7B,2,0.09053968253968253,0.23124603174603175,0.14070634920634922
gpt4o,keyword,E5-Mistral-7B,2,0.11101190476190476,0.22829761904761905,0.1172857142857143
local,nl,E5-Mistral-7B,2,0.10051190476190476,0.24635714285714283,0.14584523809523808
local,keyword,E5-Mistral-7B,2,0.14633333333333332,0.2607023809523809,0.11436904761904759
gpt4o,nl,E5-Mistral-7B-ablation,2,0.5861190476190477,0.8023611111111112,0.21624206349206354
gpt4o,keyword,E5-Mistral-7B-ablation,2,0.74375,0.7440833333333333,0.0003333333333332966
local,nl,E5-Mistral-7B-ablation,2,0.6262777777777777,0.8308333333333334,0.2045555555555557
local,keyword,E5-Mistral-7B-ablation,2,0.719361111111111,0.7123571428571428,-0.007003968253968207
gpt4o,nl,Phi-3-mini,2,0.5459126984126983,0.6885634920634921,0.1426507936507938
gpt4o,keyword,Phi-3-mini,2,0.5477500000000001,0.6492896825396827,0.1015396825396826
local,nl,Phi-3-mini,2,0.503452380952381,0.6981349206349207,0.19468253968253968
local,keyword,Phi-3-mini,2,0.48858333333333337,0.6136785714285714,0.12509523809523804
gpt4o,nl,BioMistral-7B,2,0.4762539682539683,0.5536468253968254,0.0773928571428571
gpt4o,keyword,BioMistral-7B,2,0.34330952380952384,0.5836507936507938,0.2403412698412699
local,nl,BioMistral-7B,2,0.4341507936507936,0.568218253968254,0.13406746031746036
local,keyword,BioMistral-7B,2,0.37616666666666665,0.5470912698412699,0.17092460317460323
